otu_id	assignment
denovo1	Bacteroides_acidifaciens
denovo100	Capnocytophaga_leadbetteri
denovo1000	Prevotella_intermedia
denovo10004	Propionibacterium_acnes
denovo10005	Tessaracoccus_bendigoensis
denovo1001	Atopobium_vaginae
denovo10010	Gemella_morbillorum
denovo10011	Prevotella_scopos
denovo10013	Prevotella_denticola
denovo10015	Veillonella_criceti
denovo10016	Porphyromonas_catoniae
denovo10017	Porphyromonas_catoniae
denovo10018	Veillonella_tobetsuensis
denovo10019	Selenomonas_sputigena
denovo10020	Granulicatella_adiacens
denovo10021	Clostridium_rectum
denovo10022	Fusobacterium_nucleatum_subsp._animalis
denovo10025	Aridibacter_famidurans
denovo10026	Streptococcus_pseudopneumoniae
denovo10027	Acinetobacter_haemolyticus
denovo1003	Prevotella_maculosa
denovo10030	Porphyromonas_endodontalis
denovo10032	Prevotella_intermedia
denovo10036	Actinomyces_meyeri
denovo10037	Lactobacillus_gasseri
denovo10038	Veillonella_tobetsuensis
denovo1004	Arthrobacter_subterraneus
denovo10040	Lautropia_mirabilis
denovo10042	Granulicatella_adiacens
denovo10045	Prevotella_veroralis
denovo10047	Lactobacillus_gasseri
denovo10049	Sphingomonas_ursincola
denovo10052	Anaerocella_delicata
denovo10055	Prevotella_salivae
denovo10056	Gemella_haemolysans
denovo10058	Streptococcus_salivarius_subsp._salivarius
denovo10059	Eubacterium_saphenum
denovo10061	Eubacterium_brachy
denovo10063	Porphyromonas_endodontalis
denovo10065	Porphyromonas_catoniae
denovo10066	Sphingobacterium_daejeonense
denovo10068	Actinomyces_meyeri
denovo10073	Streptococcus_salivarius_subsp._salivarius
denovo10075	Prevotella_melaninogenica
denovo10077	Slackia_exigua
denovo10080	Bulleidia_extructa
denovo10086	Fusobacterium_nucleatum_subsp._polymorphum
denovo10089	Streptococcus_gordonii
denovo1009	Devosia_insulae
denovo10090	Reinekea_marinisedimentorum
denovo10092	Veillonella_denticariosi
denovo10094	Dialister_invisus
denovo10095	Naasia_aerilata
denovo10096	Lactobacillus_fermentum
denovo10099	Alloprevotella_tannerae
denovo101	Alloprevotella_tannerae
denovo10104	Porphyromonas_catoniae
denovo10107	Streptococcus_parasanguinis
denovo10108	Tessaracoccus_bendigoensis
denovo10109	Streptococcus_constellatus_subsp._constellatus
denovo10110	Prevotella_melaninogenica
denovo10111	Actinomyces_meyeri
denovo10113	Streptococcus_parasanguinis
denovo10114	Fusobacterium_nucleatum_subsp._polymorphum
denovo10115	Porphyromonas_catoniae
denovo10116	Streptococcus_anginosus
denovo10119	Prevotella_denticola
denovo10122	Rothia_mucilaginosa
denovo10124	Actinomyces_cardiffensis
denovo10126	Fusobacterium_nucleatum_subsp._vincentii
denovo10128	Veillonella_tobetsuensis
denovo10130	Actinomyces_oris
denovo10131	Streptococcus_salivarius_subsp._salivarius
denovo10132	Staphylococcus_aureus_subsp._anaerobius
denovo10133	Streptococcus_dentisani
denovo10135	Porphyromonas_catoniae
denovo10138	Staphylococcus_aureus_subsp._anaerobius
denovo10139	Lactobacillus_gasseri
denovo10140	Granulicatella_adiacens
denovo10143	Granulicatella_adiacens
denovo10147	Actinomyces_turicensis
denovo10148	Prevotella_melaninogenica
denovo10150	Centipeda_periodontii
denovo10152	Negativicoccus_succinicivorans
denovo10153	Abiotrophia_defectiva
denovo10155	Actinomyces_oris
denovo10156	Prevotella_timonensis
denovo10158	Prevotella_veroralis
denovo10160	Rothia_mucilaginosa
denovo10162	Prevotella_nanceiensis
